Frame,VehicleID,Class,Confidence,Xmin,Ymin,Xmax,Ymax,Lane
46,417,bus,0.30,301,173,347,244,
46,418,person,0.30,63,192,69,208,
46,419,car,0.28,104,213,182,310,Left Lane
46,420,car,0.26,203,18,218,34,
47,421,car,0.69,179,46,201,66,
47,422,car,0.63,142,41,163,61,
47,423,car,0.56,528,163,598,219,
47,424,car,0.55,127,116,168,161,
47,425,car,0.47,128,136,165,162,
47,426,person,0.33,31,225,38,243,
47,427,bus,0.30,98,217,178,322,Left Lane
47,428,person,0.28,63,192,69,208,
47,429,car,0.28,289,119,321,164,
48,430,car,0.69,124,137,162,167,
48,431,car,0.66,179,47,200,67,
48,432,car,0.63,525,164,595,223,
48,433,car,0.63,142,42,163,62,
48,434,car,0.44,141,120,170,146,
48,435,person,0.33,31,225,38,244,
48,436,car,0.31,90,224,176,334,Left Lane
48,437,car,0.28,289,119,321,165,
48,438,car,0.25,300,175,348,247,
49,439,car,0.66,522,163,591,225,
49,440,car,0.64,142,42,163,62,
49,441,car,0.57,122,146,158,172,
49,442,car,0.52,178,48,200,69,
49,443,bus,0.42,85,233,171,347,Left Lane
49,444,person,0.33,31,225,38,244,
49,445,car,0.32,289,119,321,166,
49,446,car,0.28,122,129,159,171,
50,447,car,0.72,177,51,201,70,
50,448,car,0.64,142,42,163,62,
50,449,car,0.64,517,169,589,230,
50,450,car,0.57,74,240,168,358,Left Lane
50,451,train,0.38,74,239,169,357,Left Lane
50,452,car,0.35,118,129,158,177,
50,453,person,0.31,31,225,38,244,
50,454,car,0.29,290,119,321,167,
50,455,car,0.27,301,177,349,249,
51,456,car,0.67,142,42,163,62,
51,457,car,0.65,178,52,200,71,
51,458,car,0.55,114,151,153,182,
51,459,car,0.49,515,172,586,233,Right Lane
51,460,train,0.46,72,248,165,359,Left Lane
51,461,car,0.39,514,197,562,234,Right Lane
51,462,car,0.36,70,248,164,359,Left Lane
51,463,car,0.35,114,132,155,182,
51,464,train,0.33,289,118,321,167,
51,465,person,0.30,31,225,39,244,
52,466,car,0.71,177,53,200,73,
52,467,car,0.65,142,42,163,62,
52,468,car,0.52,110,149,152,188,
52,469,train,0.40,67,256,161,359,Left Lane
52,470,car,0.36,510,198,561,237,Right Lane
52,471,car,0.30,109,134,159,188,
52,472,train,0.29,289,118,321,168,
52,473,car,0.27,67,257,159,360,Left Lane
52,474,car,0.27,511,172,583,237,Right Lane
53,475,car,0.67,177,55,201,75,
53,476,car,0.66,142,42,163,62,
53,477,car,0.62,62,267,155,360,Left Lane
53,478,car,0.48,107,138,159,193,
53,479,car,0.44,507,176,579,241,Right Lane
53,480,train,0.34,289,119,321,168,
54,481,car,0.73,177,56,199,76,
54,482,car,0.69,142,42,163,62,
54,483,car,0.60,503,178,575,247,Right Lane
54,484,car,0.52,204,25,220,39,
54,485,car,0.39,57,277,149,359,Left Lane
54,486,car,0.31,290,121,321,169,
54,487,train,0.31,290,120,321,169,
54,488,car,0.29,101,142,157,200,
54,489,person,0.26,31,225,39,244,
55,490,car,0.76,176,57,200,78,
55,491,car,0.70,142,42,163,62,
55,492,car,0.68,499,180,573,250,Right Lane
55,493,car,0.54,204,25,220,40,
55,494,car,0.54,54,288,146,360,Left Lane
55,495,car,0.37,289,121,321,169,
55,496,car,0.34,96,147,155,207,
55,497,car,0.32,300,180,350,255,
55,498,person,0.27,31,225,39,244,
56,499,car,0.73,176,60,200,80,
56,500,car,0.69,142,42,164,62,
56,501,car,0.63,496,184,569,254,Right Lane
56,502,car,0.57,204,26,220,41,
56,503,car,0.49,54,299,140,360,
56,504,car,0.46,290,121,321,169,
56,505,truck,0.33,91,151,152,213,
56,506,car,0.32,300,181,351,257,
56,507,car,0.28,90,151,153,213,
56,508,person,0.28,31,225,39,245,
57,509,car,0.72,493,187,567,258,Right Lane
57,510,car,0.68,142,42,164,63,
57,511,car,0.61,175,60,200,81,
57,512,car,0.53,204,27,220,42,
57,513,car,0.50,54,311,135,360,
57,514,car,0.46,290,122,321,170,
57,515,person,0.33,31,225,39,244,
57,516,car,0.27,300,181,349,258,
57,517,car,0.26,86,156,147,220,
58,518,car,0.77,176,62,199,83,
58,519,car,0.68,489,189,563,263,Right Lane
58,520,car,0.66,142,42,163,63,
58,521,car,0.62,204,27,220,43,
58,522,car,0.55,290,123,322,171,
58,523,car,0.52,54,324,129,360,
58,524,person,0.36,31,225,39,245,
58,525,bus,0.36,80,160,146,227,
58,526,car,0.29,300,182,350,258,
58,527,truck,0.28,80,161,145,228,
59,528,car,0.72,485,192,559,267,Right Lane
59,529,car,0.65,142,42,163,63,
59,530,car,0.63,175,64,198,86,
59,531,car,0.54,205,28,221,43,
59,532,car,0.41,290,124,322,172,
59,533,person,0.35,31,226,38,245,
59,534,car,0.33,301,183,351,260,
59,535,car,0.30,52,335,123,359,
59,536,bus,0.27,75,166,143,236,Left Lane
59,537,car,0.27,75,166,142,236,Left Lane
60,538,car,0.67,174,64,198,87,
60,539,car,0.66,482,195,557,274,Right Lane
60,540,car,0.65,142,43,163,63,
60,541,car,0.59,205,29,221,44,
60,542,car,0.43,68,172,139,244,Left Lane
60,543,car,0.35,290,123,322,172,
60,544,car,0.34,301,184,352,261,
60,545,person,0.32,31,226,38,245,
61,546,car,0.67,174,66,198,88,
61,547,car,0.65,478,198,554,277,Right Lane
61,548,car,0.64,142,43,163,63,
61,549,car,0.54,206,29,221,45,
61,550,car,0.45,290,125,323,172,
61,551,truck,0.41,61,177,135,253,
61,552,bus,0.34,61,177,135,253,
61,553,person,0.32,31,226,37,244,
61,554,car,0.32,301,185,352,262,
61,555,bus,0.27,301,185,352,262,
62,556,car,0.77,173,68,198,90,
62,557,car,0.65,142,42,163,63,
62,558,car,0.62,205,30,221,46,
62,559,car,0.58,301,186,352,264,
62,560,car,0.53,290,125,322,173,
62,561,car,0.45,475,203,550,283,Right Lane
62,562,car,0.38,54,183,131,264,
62,563,bus,0.36,54,182,131,263,
62,564,person,0.35,31,226,38,244,
62,565,truck,0.34,54,183,131,263,
62,566,car,0.29,475,237,528,282,Right Lane
63,567,car,0.65,172,70,197,93,
63,568,car,0.65,205,31,221,47,
63,569,car,0.61,142,43,164,63,
63,570,car,0.60,470,206,548,288,Right Lane
63,571,car,0.55,290,126,322,174,
63,572,car,0.52,300,188,352,266,
63,573,car,0.38,46,190,127,274,
63,574,bus,0.33,46,190,127,274,
63,575,truck,0.32,46,190,127,273,
64,576,car,0.78,172,72,196,95,
64,577,car,0.77,466,209,545,294,Right Lane
64,578,car,0.62,205,32,221,47,
64,579,car,0.59,142,43,163,63,
64,580,car,0.56,290,126,322,175,
64,581,car,0.48,37,196,121,284,
64,582,truck,0.43,37,196,122,283,
64,583,car,0.29,300,189,352,267,
64,584,bus,0.25,300,189,352,267,
65,585,car,0.77,171,73,195,97,
65,586,car,0.69,462,212,543,299,Right Lane
65,587,car,0.64,205,33,222,48,
65,588,car,0.57,290,126,322,176,
65,589,car,0.57,142,43,163,63,
65,590,car,0.43,28,204,116,295,
65,591,car,0.42,300,190,352,269,
65,592,truck,0.28,29,204,117,296,
66,593,car,0.77,459,216,539,306,Right Lane
66,594,car,0.70,170,76,194,99,
66,595,car,0.66,206,33,222,49,
66,596,car,0.61,290,127,322,177,
66,597,car,0.57,142,43,163,63,
66,598,car,0.44,300,190,353,270,
66,599,car,0.41,18,211,111,306,
66,600,truck,0.31,18,210,111,306,
67,601,car,0.79,455,221,536,313,Right Lane
67,602,car,0.65,169,77,194,102,
67,603,car,0.62,206,34,222,50,
67,604,car,0.62,6,219,106,321,
67,605,car,0.60,142,43,163,63,
67,606,car,0.58,290,127,322,176,
67,607,car,0.46,301,191,353,272,
68,608,car,0.80,452,224,533,319,Right Lane
68,609,car,0.69,206,35,222,51,
68,610,car,0.67,168,79,194,104,
68,611,car,0.60,142,43,163,63,
68,612,car,0.59,290,128,323,177,
68,613,car,0.38,0,228,101,333,
68,614,car,0.34,300,191,353,273,
68,615,truck,0.26,0,227,100,333,
69,616,car,0.81,447,229,529,327,Right Lane
69,617,car,0.64,0,236,94,349,
69,618,car,0.61,206,36,222,52,
69,619,car,0.59,168,80,194,106,
69,620,car,0.57,143,43,164,63,
69,621,car,0.40,290,128,323,178,
69,622,car,0.37,300,193,353,274,
70,623,car,0.79,0,245,88,357,
70,624,car,0.73,166,83,193,110,
70,625,car,0.71,444,232,527,333,Right Lane
70,626,car,0.57,143,43,164,63,
70,627,car,0.52,206,36,223,53,
70,628,car,0.51,290,128,323,179,
70,629,car,0.35,301,195,353,276,
71,630,car,0.75,440,238,523,341,Right Lane
71,631,car,0.70,166,85,192,111,
71,632,car,0.66,0,255,80,358,
71,633,car,0.56,143,43,165,63,
71,634,car,0.53,290,129,323,179,
71,635,car,0.47,206,37,224,54,
71,636,car,0.37,301,196,353,278,
72,637,car,0.81,0,266,72,357,
72,638,car,0.79,435,243,520,349,Right Lane
72,639,car,0.65,165,88,192,113,
72,640,car,0.58,289,130,323,180,
72,641,car,0.56,143,43,164,63,
72,642,car,0.46,206,37,224,55,
72,643,car,0.44,301,197,353,280,
73,644,car,0.76,432,248,517,357,Right Lane
73,645,car,0.67,0,278,63,357,
73,646,car,0.60,163,89,192,116,
73,647,car,0.57,143,44,164,63,
73,648,car,0.43,289,130,323,180,
73,649,car,0.42,206,38,223,56,
73,650,car,0.35,301,198,354,282,
73,651,bus,0.27,289,130,323,180,
